,links,names,ratings,price for one,cuisine
0,https://www.zomato.com/visakhapatnam/angels-dine-vishalaksmi-nagar-vizag/order,Angel's Dine,3.9,₹300 for one,"North Indian, Chinese, Biryani"
1,https://www.zomato.com/visakhapatnam/eaters-stop-dwaraka-nagar-vizag/order,Eaters Stop,4.2,₹300 for one,"South Indian, North Indian"
2,https://www.zomato.com/visakhapatnam/london-restaurant-balayya-sastri-layout-vizag/order,London Restaurant,New,₹300 for one,"Chinese, Biryani"
3,https://www.zomato.com/visakhapatnam/kamat-restaurant-dwaraka-nagar-vizag/order,Kamat Restaurant,4.2,₹300 for one,"Andhra, North Indian, Chinese, Biryani, Seafood, Beverages, Desserts"
4,https://www.zomato.com/visakhapatnam/helapuri-restaurant-diamond-park-dwaraka-nagar-vizag/order,Helapuri Restaurant-Diamond Park,4.1,₹300 for one,"North Indian, Chinese, Biryani, Mughlai, Seafood, Andhra, Desserts, Beverages"
5,https://www.zomato.com/visakhapatnam/queen-of-vizag-mvp-colony-vizag/order,Queen Of Vizag,New,₹300 for one,"Biryani, Chinese"
6,https://www.zomato.com/visakhapatnam/kfc-dondaparithy-vizag/order,KFC,4.2,₹300 for one,"Fast Food, Burger"
7,https://www.zomato.com/visakhapatnam/visakha-dosa-point-ram-nagar-vizag/order,Visakha Dosa Point,4.1,₹300 for one,South Indian
8,https://www.zomato.com/visakhapatnam/burger-king-asilmetta-vizag/order,Burger King,4.3,₹300 for one,"Burger, Fast Food"
9,https://www.zomato.com/visakhapatnam/chutneys-diamond-park-dwaraka-nagar-vizag/order,Chutneys Diamond Park,4.4,₹100 for one,"South Indian, North Indian, Chinese, Biryani, Desserts, Beverages"
10,https://www.zomato.com/visakhapatnam/sri-sairam-parlour-dwaraka-nagar-vizag/order,Sri Sairam Parlour,4.3,₹100 for one,"Andhra, South Indian, Chinese, North Indian"
11,https://www.zomato.com/visakhapatnam/new-satyam-ritz-comfort-dwaraka-nagar-vizag/order,New Satyam Ritz Comfort,4.0,₹100 for one,Biryani
12,https://www.zomato.com/visakhapatnam/celebrations-restaurant-akkayyapalem-vizag/order,Celebrations Restaurant,4.3,₹100 for one,"Continental, Chinese, South Indian, Biryani, Andhra, North Indian, Kebab, Ice Cream"
13,https://www.zomato.com/visakhapatnam/s-kotas-hotel-muntaj-venkojipalem-vizag/order,S Kota's Hotel Muntaj,4.3,₹100 for one,"North Indian, Chinese, Biryani"
14,https://www.zomato.com/visakhapatnam/bombay-restaurant-dabagardens-allipuram-vizag/order,Bombay Restaurant - Dabagardens,3.9,₹100 for one,"North Indian, Mughlai, Kebab, Chinese, Biryani, Seafood"
15,https://www.zomato.com/visakhapatnam/satyam-non-veg-restaurant-dwaraka-nagar-vizag/order,Satyam Non-Veg Restaurant,4.2,₹100 for one,"Biryani, North Indian, Chinese"
16,https://www.zomato.com/visakhapatnam/shree-shyam-restaurant-allipuram-vizag/order,Shree Shyam Restaurant,3.8,₹100 for one,"North Indian, Chinese"
17,https://www.zomato.com/visakhapatnam/chutnees-dondaparithy-vizag/order,Chutnees,4.3,₹100 for one,"South Indian, North Indian, Andhra"
18,https://www.zomato.com/visakhapatnam/luq-food-plaza-dondaparithy-vizag/order,LUQ Food Plaza,3.6,₹100 for one,"Seafood, Fast Food"
19,https://www.zomato.com/visakhapatnam/dominos-pizza-seethammadhara-vizag/order,Domino's Pizza,4.3,₹100 for one,"Pizza, Fast Food, Desserts"
20,https://www.zomato.com/visakhapatnam/real-deepak-punjabi-dhaba-seethammadhara-vizag/order,Real Deepak Punjabi Dhaba,4.2,₹100 for one,"North Indian, South Indian, Biryani, Chinese, Sichuan"
21,https://www.zomato.com/visakhapatnam/new-muntaj-biryani-balayya-sastri-layout-vizag/order,New Muntaj Biryani,3.2,₹300 for one,"Biryani, Chinese, North Indian"
22,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,New Dhaba Shere-Punjab Pure Veg Restaurant,3.5,₹300 for one,North Indian
23,https://www.zomato.com/visakhapatnam/hotel-diamond-alpha-biryani-madhavadhara-vizag/order,Hotel Diamond Alpha Biryani,3.8,₹300 for one,Biryani
24,https://www.zomato.com/visakhapatnam/the-spicy-venue-siripuram-vizag/order,The Spicy Venue,4.4,₹300 for one,"Biryani, North Indian"
25,https://www.zomato.com/visakhapatnam/new-satyam-multicuisine-restaurant-takeaway-dwaraka-nagar-vizag/order,New Satyam Multicuisine Restaurant & Takeaway,4.2,₹300 for one,"North Indian, Biryani, Andhra, Chinese, Mughlai, Sichuan"
26,https://www.zomato.com/visakhapatnam/svs-paradise-kancharapalem-vizag/order,SVS Paradise,3.6,₹300 for one,"Chinese, Biryani, North Indian, Seafood, Beverages"
27,https://www.zomato.com/visakhapatnam/new-deepak-punjabi-dhaba-dwaraka-nagar-vizag/order,New Deepak Punjabi Dhaba,4.1,₹300 for one,"North Indian, Biryani, Kebab, Chinese, Seafood, Rolls"
28,https://www.zomato.com/visakhapatnam/hotel-golden-alfa-nad-junction-vizag/order,Hotel Golden Alfa,4.2,₹300 for one,Biryani
29,https://www.zomato.com/visakhapatnam/pizza-hut-dwaraka-nagar-vizag/order,Pizza Hut,4.1,₹300 for one,"Pizza, Fast Food, Desserts, Beverages"
30,https://www.zomato.com/visakhapatnam/bombay-restaurant-jyothee-theatre-allipuram-vizag/order,Bombay Restaurant-Jyothee Theatre,4.0,₹300 for one,"Chinese, Seafood, North Indian, Kebab, Mughlai, Biryani"
31,https://www.zomato.com/visakhapatnam/new-dhaba-city-punjab-balayya-sastri-layout-vizag/order,New Dhaba City Punjab,4.1,₹300 for one,"North Indian, Mughlai, Chinese, Biryani"
32,https://www.zomato.com/visakhapatnam/spicy-paradise-restaurant-jagadamba-junction-vizag/order,Spicy Paradise Restaurant,3.9,₹300 for one,"North Indian, South Indian, Chinese, Biryani"
33,https://www.zomato.com/visakhapatnam/72-biryanis-2-madhavadhara-vizag/order,72 Biryanis,3.5,₹250 for one,"Biryani, Andhra, North Indian, Kebab, Chinese"
34,https://www.zomato.com/visakhapatnam/konaseema-biryani-maddilapalem-vizag/order,Konaseema Biryani,3.7,₹250 for one,"Biryani, Chinese, Andhra"
35,https://www.zomato.com/visakhapatnam/paradise-biryani-waltair-uplands-vizag/order,Paradise Biryani,3.8,₹250 for one,"Biryani, North Indian, Kebab, Chinese, Desserts"
36,https://www.zomato.com/visakhapatnam/cakezone-dwaraka-nagar-vizag/order,CakeZone,4.2,₹250 for one,"Bakery, Desserts"
37,https://www.zomato.com/visakhapatnam/new-ram-sai-restaurant-madhavadhara-vizag/order,New Ram Sai Restaurant,4.1,₹250 for one,"Biryani, North Indian, Chinese, South Indian, Shake, Sichuan"
38,https://www.zomato.com/visakhapatnam/abhiruchi-biryani-maddilapalem-vizag/order,Abhiruchi Biryani,3.8,₹250 for one,Biryani
39,https://www.zomato.com/visakhapatnam/mcdonalds-7-maddilapalem-vizag/order,McDonald's,4.3,₹250 for one,"Burger, Fast Food, Coffee, Beverages"
40,https://www.zomato.com/visakhapatnam/yasoddha-noodles-point-lawsons-bay-vizag/order,Yasoddha Noodles Point,4.1,₹250 for one,"Chinese, Biryani, North Indian"
41,https://www.zomato.com/visakhapatnam/chickpet-donne-biryani-house-dwaraka-nagar-vizag/order,Chickpet Donne Biryani House,3.8,₹250 for one,"Biryani, North Indian, Seafood"
42,https://www.zomato.com/visakhapatnam/royal-rajasthan-restaurant-allipuram-vizag/order,Royal Rajasthan Restaurant,3.9,₹250 for one,North Indian
43,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,NIC Ice Creams,4.5,₹250 for one,"Ice Cream, Desserts"
44,https://www.zomato.com/visakhapatnam/cream-stone-ice-cream-siripuram-vizag/order,Cream Stone Ice Cream,4.1,₹250 for one,"Ice Cream, Desserts, Bakery, Shake"
45,https://www.zomato.com/visakhapatnam/jai-jaganath-restaurant-ram-nagar-vizag/order,Jai Jaganath Restaurant,4.0,₹100 for one,"Chinese, North Indian, Desserts"
46,https://www.zomato.com/visakhapatnam/lassi-shop-dondaparithy-vizag/order,Lassi Shop,3.9,₹100 for one,"Coffee, Beverages, Desserts, Ice Cream"
47,https://www.zomato.com/visakhapatnam/grand-sri-sai-ram-parlour-dwaraka-nagar-vizag/order,Grand Sri Sai Ram Parlour,4.0,₹100 for one,"South Indian, Andhra"
48,https://www.zomato.com/visakhapatnam/tandoori-treats-1-siripuram-vizag/order,Tandoori Treats,3.2,₹100 for one,"North Indian, Biryani, Chinese"
49,https://www.zomato.com/visakhapatnam/gatox-natural-ice-cream-seethammadhara-vizag/order,Gatox Natural Ice Cream,4.6,₹100 for one,"Ice Cream, Beverages, Shake"
50,https://www.zomato.com/visakhapatnam/asha-family-restaurant-fast-foods-lawsons-bay-vizag/order,Asha Family Restaurant & Fast Foods,3.1,₹100 for one,"Biryani, Chinese, Seafood, Rolls, Mughlai, Sichuan, North Indian"
51,https://www.zomato.com/visakhapatnam/maa-nethi-vindu-dondaparithy-vizag/order,Maa Nethi Vindu,4.2,₹100 for one,"South Indian, Chinese, Biryani, North Indian, Ice Cream, Desserts, Shake, Beverages"
52,https://www.zomato.com/visakhapatnam/lucky-tiffins-mvp-colony-vizag/order,Lucky Tiffins,4.3,₹100 for one,South Indian
53,https://www.zomato.com/visakhapatnam/k4-restaurant-kummaripalem-vizag/order,K4 Restaurant,3.5,₹100 for one,"Chinese, Street Food, North Indian"
54,https://www.zomato.com/visakhapatnam/bucket-biryani-1-balayya-sastri-layout-vizag/order,Bucket Biryani,3.5,₹100 for one,"Biryani, Chinese"
55,https://www.zomato.com/visakhapatnam/home-food-co-1-mvp-colony-vizag/order,Home Food Co.,3.9,₹100 for one,"South Indian, Andhra, Chinese, Bakery, Biryani, Fast Food, Desserts, Beverages"
56,https://www.zomato.com/visakhapatnam/nandini-srinivasa-parlour-nad-junction-vizag/order,Nandini Srinivasa Parlour,4.0,₹100 for one,"South Indian, North Indian, Chinese"
57,https://www.zomato.com/visakhapatnam/the-dessert-heaven-pure-veg-dwaraka-nagar-vizag/order,The Dessert Heaven - Pure Veg,4.3,₹100 for one,"Desserts, Bakery"
58,https://www.zomato.com/visakhapatnam/mr-little-idli-1-mvp-colony-vizag/order,Mr. Little Idli,4.1,₹100 for one,"South Indian, Street Food"
59,https://www.zomato.com/visakhapatnam/subway-mvp-colony-vizag/order,Subway,4.1,₹100 for one,"Wraps, Sandwich, Fast Food, Salad, Healthy Food"
60,https://www.zomato.com/visakhapatnam/southern-foods-maddilapalem-vizag/order,Southern Foods,3.9,₹100 for one,"South Indian, North Indian, Biryani, Chinese, Mughlai, Sichuan, Kebab, Desserts"
61,https://www.zomato.com/visakhapatnam/grill-citi-lawsons-bay-vizag/order,Grill Citi,4.3,₹100 for one,"Shawarma, Kebab, North Indian"
62,https://www.zomato.com/visakhapatnam/kamat-take-away-in-mvp-colony-vizag/order,Kamat Take Away-In,3.2,₹100 for one,"Biryani, Chinese, North Indian, Sichuan"
63,https://www.zomato.com/visakhapatnam/reboot-dine-in-sagar-nagar-vizag/order,Reboot Dine In,3.7,₹100 for one,"North Indian, Biryani, Chinese, Seafood, Sichuan"
64,https://www.zomato.com/visakhapatnam/cake-studio-dwaraka-nagar-vizag/order,Cake Studio,4.2,₹100 for one,Bakery
65,https://www.zomato.com/visakhapatnam/red-pepper-family-restaurant-balayya-sastri-layout-vizag/order,Red Pepper Family Restaurant,3.4,₹100 for one,"North Indian, Biryani, Chinese, Sichuan"
66,https://www.zomato.com/visakhapatnam/the-legendairy-milkshakes-maddilapalem-vizag/order,The Legendairy Milkshakes,4.5,₹100 for one,"Beverages, Shake"
67,https://www.zomato.com/visakhapatnam/naidu-gari-kunda-biryani-mvp-colony-vizag/order,Naidu Gari Kunda Biryani,3.8,₹100 for one,"Biryani, South Indian, North Indian, Chinese"
68,https://www.zomato.com/visakhapatnam/the-arabian-restaurant-marripalem-vizag/order,The Arabian Restaurant,3.5,₹100 for one,"Arabian, North Indian, Mandi, Biryani, Chinese"
