,links,names,ratings,price for one,cuisine
0,https://www.zomato.com/visakhapatnam/fabelle-chocolates-nad-junction-vizag/order,Fabelle Chocolates,4.0,₹100 for one,"Desserts, Ice Cream, Bakery, Juices, Beverages"
1,https://www.zomato.com/visakhapatnam/celebrations-restaurant-pendurthi-vizag/order,Celebrations Restaurant,4.2,₹100 for one,"North Indian, Chinese, Mughlai, Biryani, Ice Cream, Shake, Beverages"
2,https://www.zomato.com/visakhapatnam/tandoori-treats-vepagunta-vizag/order,Tandoori Treats,3.3,₹100 for one,"North Indian, South Indian, Chinese, Biryani"
3,https://www.zomato.com/visakhapatnam/new-ram-sai-parlour-restaurant-pendurthi-vizag/order,New Ram Sai Parlour & Restaurant,4.0,₹100 for one,"South Indian, Chinese, Biryani"
4,https://www.zomato.com/visakhapatnam/gatox-naturals-ice-cream-pendurthi-vizag/order,Gatox Naturals Ice Cream,4.6,₹100 for one,Ice Cream
5,https://www.zomato.com/visakhapatnam/mandis-treats-vepagunta-vizag/order,Mandi's Treats,3.3,₹100 for one,"Mandi, Biryani, Chinese, North Indian, Mughlai, Seafood"
6,https://www.zomato.com/visakhapatnam/lucky-restaurant-gopalapatnam-vizag/order,Lucky Restaurant,3.9,₹100 for one,"North Indian, Biryani, Chinese, Seafood"
7,https://www.zomato.com/visakhapatnam/star-annapurnas-paakashala-restaurant-pendurthi-vizag/order,Star Annapurna's Paakashala Restaurant,4.2,₹100 for one,"South Indian, Chinese, North Indian, Biryani, Kebab"
8,https://www.zomato.com/visakhapatnam/cakes-shakes-pendurthi-vizag/order,Cakes & Shakes,3.6,₹100 for one,"Bakery, Ice Cream, Desserts, Waffle, Shake, Beverages"
9,https://www.zomato.com/visakhapatnam/mayuri-restaurant-pendurthi-vizag/order,Mayuri Restaurant,4.1,₹300 for one,"North Indian, Biryani, Chinese, Seafood"
10,https://www.zomato.com/visakhapatnam/kfc-pendurthi-vizag/order,KFC,4.2,₹300 for one,"Fast Food, Burger"
11,https://www.zomato.com/visakhapatnam/pizza-hut-gopalapatnam-vizag/order,Pizza Hut,4.0,₹300 for one,"Pizza, Fast Food, Desserts, Beverages"
12,https://www.zomato.com/visakhapatnam/dominos-pizza-vepagunta-vizag/order,Domino's Pizza,4.3,₹300 for one,"Pizza, Fast Food, Desserts"
13,https://www.zomato.com/visakhapatnam/cakezone-gopalapatnam-vizag/order,CakeZone,4.3,₹300 for one,"Bakery, Desserts"
14,https://www.zomato.com/visakhapatnam/the-dessert-heaven-pure-veg-gopalapatnam-vizag/order,The Dessert Heaven - Pure Veg,4.0,₹300 for one,"Desserts, Bakery"
15,https://www.zomato.com/visakhapatnam/haldi-restaurant-pendurthi-vizag/order,Haldi Restaurant,3.7,₹300 for one,"South Indian, Biryani, Andhra, Pizza, Fast Food, Shake, Beverages"
16,https://www.zomato.com/visakhapatnam/andhra-ghuma-ghumalu-restaurant-pendurthi-vizag/order,Andhra Ghuma Ghumalu Restaurant,4.1,₹300 for one,"South Indian, Chinese, North Indian, Seafood, Biryani, Andhra"
17,https://www.zomato.com/visakhapatnam/the-legendairy-milkshakes-pendurthi-vizag/order,The Legendairy Milkshakes,4.5,₹300 for one,"Beverages, Shake"
18,https://www.zomato.com/visakhapatnam/lunchbox-meals-and-thalis-gajuwaka-vizag/order,LunchBox - Meals and Thalis,4.0,₹300 for one,North Indian
19,https://www.zomato.com/visakhapatnam/krispy-chicken-gopalapatnam-vizag/order,Krispy Chicken,4.1,₹300 for one,"Pizza, Burger, Sandwich, Fast Food, Biryani, Shake, Beverages"
20,https://www.zomato.com/visakhapatnam/faasos-wraps-rolls-gajuwaka-vizag/order,Faasos - Wraps & Rolls,4.2,₹300 for one,"Rolls, Wraps, North Indian"
21,https://www.zomato.com/visakhapatnam/go-foodie-crispy-chicken-pendurthi-vizag/order,Go Foodie Crispy Chicken,4.3,₹200 for one,"Pizza, Burger, Fast Food, Beverages"
22,https://www.zomato.com/visakhapatnam/behrouz-biryani-gajuwaka-vizag/order,Behrouz Biryani,3.8,₹200 for one,"Biryani, Kebab, Hyderabadi, Lucknowi"
23,https://www.zomato.com/visakhapatnam/ovenfresh-cakes-and-desserts-gopalapatnam-vizag/order,Ovenfresh Cakes and Desserts,3.8,₹200 for one,"Bakery, Desserts, Ice Cream, Mithai, Beverages"
24,https://www.zomato.com/visakhapatnam/deccan-pizza-pendurthi-vizag/order,Deccan Pizza,3.6,₹200 for one,"Pizza, Burger, Sandwich, Fast Food, Bakery, Desserts, Beverages"
25,https://www.zomato.com/visakhapatnam/the-good-bowl-gajuwaka-vizag/order,The Good Bowl,3.6,₹200 for one,"North Indian, Pasta, Italian"
26,https://www.zomato.com/visakhapatnam/firangi-bake-gajuwaka-vizag/order,Firangi Bake,4.3,₹200 for one,"Italian, Mexican"
27,https://www.zomato.com/visakhapatnam/svs-food-island-shawrbq-1-pendurthi-vizag/order,SVS Food Island & ShawrbQ,4.0,₹200 for one,"Chinese, Biryani, Mughlai"
28,https://www.zomato.com/visakhapatnam/deccan-fried-chicken-pendurthi-vizag/order,Deccan Fried Chicken,4.1,₹200 for one,"Pizza, Burger, Sandwich, Fast Food, Desserts, Shake, Beverages"
29,https://www.zomato.com/visakhapatnam/just-bake-1-vepagunta-vizag/order,Just Bake,3.7,₹200 for one,Bakery
30,https://www.zomato.com/visakhapatnam/the-biryani-life-gajuwaka-vizag/order,The Biryani Life,3.3,₹200 for one,"Biryani, Kebab, North Indian"
31,https://www.zomato.com/visakhapatnam/veg-daawat-by-behrouz-gajuwaka-vizag/order,Veg Daawat By Behrouz,3.5,₹200 for one,"Biryani, Mughlai, North Indian"
32,https://www.zomato.com/visakhapatnam/cheesecakes-by-cakezone-nad-junction-vizag/order,Cheesecakes by CakeZone,4.0,₹200 for one,"Bakery, Desserts"
33,https://www.zomato.com/visakhapatnam/sweet-truth-cake-and-desserts-gajuwaka-vizag/order,Sweet Truth - Cake and Desserts,4.0,₹250 for one,"Desserts, Bakery, Ice Cream"
34,https://www.zomato.com/visakhapatnam/faasos-signature-wraps-and-rolls-gajuwaka-vizag/order,Faasos Signature Wraps and Rolls,4.3,₹250 for one,"Rolls, Wraps, Fast Food"
35,https://www.zomato.com/visakhapatnam/flamin-burgers-gopalapatnam-vizag/order,Flamin Burgers,3.8,₹250 for one,"Bakery, Beverages"
36,https://www.zomato.com/visakhapatnam/hyderabad-nawabi-biryani-3-prahaladapuram-vizag/order,Hyderabad Nawabi Biryani,New,₹250 for one,"Biryani, North Indian"
37,https://www.zomato.com/visakhapatnam/pastry-chef-pendurthi-vizag/order,Pastry Chef,4.3,₹250 for one,"Bakery, Desserts, Fast Food, Street Food, Chinese, Pizza, Beverages"
38,https://www.zomato.com/visakhapatnam/creme-shakes-pendurthi-vizag/order,Creme Shakes,4.4,₹250 for one,"Desserts, Waffle, Ice Cream, Shake, Beverages"
39,https://www.zomato.com/visakhapatnam/mr-idly-pendurthi-vizag/order,Mr. Idly,3.9,₹250 for one,South Indian
40,https://www.zomato.com/visakhapatnam/sarvani-sweets-pendurthi-vizag/order,Sarvani Sweets,4.0,₹250 for one,Mithai
41,https://www.zomato.com/visakhapatnam/five-star-koli-hut-pendurthi-vizag/order,Five Star Koli Hut,4.2,₹250 for one,"Fast Food, Burger, Rolls"
42,https://www.zomato.com/visakhapatnam/wonton-momos-pendurthi-vizag/order,Wonton Momos,4.1,₹250 for one,"Fast Food, Momos, Rolls"
43,https://www.zomato.com/visakhapatnam/alekhya-palav-point-pendurthi-vizag/order,Alekhya Palav Point,3.7,₹250 for one,"Biryani, Chinese, Mughlai, North Indian, Seafood, Fast Food, Beverages"
44,https://www.zomato.com/visakhapatnam/express-eats-vepagunta-vizag/order,Express Eats,3.9,₹250 for one,"Chinese, Biryani, Seafood, North Indian, Beverages"
45,https://www.zomato.com/visakhapatnam/samosa-singh-gopalapatnam-vizag/order,Samosa Singh,3.4,₹250 for one,Street Food
46,https://www.zomato.com/visakhapatnam/b-tech-tiffin-wala-simhachalam-vizag/order,B.Tech Tiffin Wala,4.1,₹250 for one,South Indian
47,https://www.zomato.com/visakhapatnam/sri-venkateswara-biriyani-point-gopalapatnam-vizag/order,Sri Venkateswara Biriyani Point,3.8,₹250 for one,"Biryani, North Indian"
48,https://www.zomato.com/visakhapatnam/the-biryani-box-pendurthi-vizag/order,The Biryani Box,4.0,₹250 for one,"Biryani, Andhra, North Indian, Chinese, Seafood, Kebab"
49,https://www.zomato.com/visakhapatnam/cfc-crispys-1-pendurthi-vizag/order,CFC-Crispy's,3.9,₹250 for one,"Fast Food, Burger, Pizza, Sandwich, Shake, Beverages"
50,https://www.zomato.com/visakhapatnam/leo-darbar-a-new-space-of-taste-pendurthi-vizag/order,Leo Darbar ( A New Space Of Taste ),4.2,₹250 for one,"North Indian, South Indian, Mughlai, Chinese, Biryani"
51,https://www.zomato.com/visakhapatnam/creme-castle-1-pendurthi-vizag/order,Creme Castle,4.2,₹250 for one,"Ice Cream, Desserts"
52,https://www.zomato.com/visakhapatnam/runway-fast-food-and-biryani-pendurthi-vizag/order,Runway Fast Food And Biryani,4.0,₹250 for one,"Chinese, Biryani"
53,https://www.zomato.com/visakhapatnam/new-sai-ram-parlour-vepagunta-vizag/order,New Sai Ram Parlour,3.6,₹250 for one,South Indian
54,https://www.zomato.com/visakhapatnam/fab-fusion-pendurthi-vizag/order,Fab Fusion,4.1,₹250 for one,"Fast Food, Pizza, Burger, Sandwich, Street Food, Shawarma, Shake, Beverages"
55,https://www.zomato.com/visakhapatnam/shero-home-food-andhra-vepagunta-vizag/order,Shero Home Food - Andhra,3.9,₹250 for one,"Andhra, South Indian, Desserts"
56,https://www.zomato.com/visakhapatnam/sri-venkateswara-tiffins-1-gopalapatnam-vizag/order,Sri Venkateswara Tiffins,4.1,₹250 for one,South Indian
57,https://www.zomato.com/visakhapatnam/hotel-ayush-vepagunta-vizag/order,Hotel Ayush,3.7,₹250 for one,South Indian
58,https://www.zomato.com/visakhapatnam/orange-cafe-prahaladapuram-vizag/order,Orange Cafe,3.9,₹250 for one,"Sandwich, Burger, Fast Food, South Indian, Ice Cream, Desserts, Shake, Beverages"
59,https://www.zomato.com/visakhapatnam/amigos-pendurthi-vizag/order,Amigos,3.3,₹250 for one,"Bakery, Fast Food, Chinese, Biryani, Sandwich, Pizza, Desserts, Beverages"
60,https://www.zomato.com/visakhapatnam/road-cafe-dravidas-restaurant-vepagunta-vizag/order,Road Cafe Dravida's Restaurant,3.9,₹250 for one,South Indian
61,https://www.zomato.com/visakhapatnam/vfc-v3-fried-chicken-pendurthi-vizag/order,VFC V3 Fried Chicken,4.2,₹250 for one,"Burger, Pizza, Fast Food, Chinese, Beverages"
62,https://www.zomato.com/visakhapatnam/club-10-chicken-pendurthi-vizag/order,Club 10 Chicken,3.7,₹250 for one,"Sandwich, Chinese, Fast Food, Shake, Beverages"
63,https://www.zomato.com/visakhapatnam/food-fiesta-pendurthi-vizag/order,Food Fiesta,3.6,₹250 for one,"Biryani, Fast Food, Chinese, Burger, Sandwich, Shake"
64,https://www.zomato.com/visakhapatnam/xpress-kebabs-pulka-vepagunta-vizag/order,Xpress Kebabs & Pulka,3.2,₹250 for one,"Kebab, Rolls, Street Food, North Indian"
65,https://www.zomato.com/visakhapatnam/royal-pizzeria-pendurthi-vizag/order,Royal Pizzeria,3.7,₹250 for one,"Pizza, Fast Food, Beverages"
66,https://www.zomato.com/visakhapatnam/creme-berry-pendurthi-vizag/order,Creme Berry,4.0,₹250 for one,"Ice Cream, Desserts"
67,https://www.zomato.com/visakhapatnam/tea-time-pendurthi-vizag/order,Tea Time,3.8,₹250 for one,"Tea, Shake, Beverages, Street Food"
68,https://www.zomato.com/visakhapatnam/sri-rama-refreshing-zone-pendurthi-vizag/order,Sri Rama Refreshing Zone,-,₹250 for one,"Chinese, Rolls"
69,https://www.zomato.com/visakhapatnam/simba-family-restaurant-gopalapatnam-vizag/order,Simba Family Restaurant,3.7,₹250 for one,"South Indian, North Indian, Chinese, Biryani, Beverages"
70,https://www.zomato.com/visakhapatnam/rajasthan-special-tea-pendurthi-vizag/order,Rajasthan Special Tea,3.9,₹250 for one,"Street Food, North Indian"
