,links,names,ratings,price for one,cuisine
0,https://www.zomato.com/visakhapatnam/tandoori-treats-vepagunta-vizag/order,Tandoori Treats,3.3,₹250 for one,"North Indian, South Indian, Chinese, Biryani"
1,https://www.zomato.com/visakhapatnam/hotel-golden-alfa-nad-junction-vizag/order,Hotel Golden Alfa,4.2,₹250 for one,Biryani
2,https://www.zomato.com/visakhapatnam/fabelle-chocolates-nad-junction-vizag/order,Fabelle Chocolates,4.0,₹250 for one,"Desserts, Ice Cream, Bakery, Juices, Beverages"
3,https://www.zomato.com/visakhapatnam/eaters-stop-1-nad-junction-vizag/order,Eaters Stop,4.3,₹250 for one,"Fast Food, North Indian, Biryani, South Indian, Mughlai"
4,https://www.zomato.com/visakhapatnam/celebrations-restaurant-marripalem-vizag/order,Celebrations Restaurant,4.2,₹250 for one,"North Indian, South Indian, Chinese, Biryani, Kebab, Seafood, Shake, Beverages"
5,https://www.zomato.com/visakhapatnam/gatox-naturals-ice-cream-pendurthi-vizag/order,Gatox Naturals Ice Cream,4.6,₹250 for one,Ice Cream
6,https://www.zomato.com/visakhapatnam/new-ram-sai-parlour-restaurant-pendurthi-vizag/order,New Ram Sai Parlour & Restaurant,4.0,₹250 for one,"South Indian, Chinese, Biryani"
7,https://www.zomato.com/visakhapatnam/beuno-madhavadhara-vizag/order,Beuno,4.0,₹250 for one,"Pizza, Sandwich, Pasta, Shawarma, Kebab, Fast Food, Desserts, Beverages"
8,https://www.zomato.com/visakhapatnam/new-dhaba-city-punjab-3-nad-junction-vizag/order,New Dhaba City Punjab,4.2,₹250 for one,"North Indian, Biryani, Chinese"
9,https://www.zomato.com/visakhapatnam/pizza-hut-gopalapatnam-vizag/order,Pizza Hut,4.0,₹200 for one,"Pizza, Fast Food, Desserts, Beverages"
10,https://www.zomato.com/visakhapatnam/mayuri-restaurant-pendurthi-vizag/order,Mayuri Restaurant,4.1,₹200 for one,"North Indian, Biryani, Chinese, Seafood"
11,https://www.zomato.com/visakhapatnam/mandis-treats-vepagunta-vizag/order,Mandi's Treats,3.3,₹200 for one,"Mandi, Biryani, Chinese, North Indian, Mughlai, Seafood"
12,https://www.zomato.com/visakhapatnam/krispy-chicken-gopalapatnam-vizag/order,Krispy Chicken,4.1,₹200 for one,"Pizza, Burger, Sandwich, Fast Food, Biryani, Shake, Beverages"
13,https://www.zomato.com/visakhapatnam/kfc-nad-junction-vizag/order,KFC,4.1,₹200 for one,"Fast Food, Burger"
14,https://www.zomato.com/visakhapatnam/dominos-pizza-vepagunta-vizag/order,Domino's Pizza,4.3,₹200 for one,"Pizza, Fast Food, Desserts"
15,https://www.zomato.com/visakhapatnam/real-deepak-punjabi-dhaba-nad-junction-vizag/order,Real Deepak Punjabi Dhaba,4.2,₹200 for one,"North Indian, Chinese, Kebab, Mughlai, Seafood, Biryani, Rolls"
16,https://www.zomato.com/visakhapatnam/72-biryanis-2-madhavadhara-vizag/order,72 Biryanis,3.5,₹200 for one,"Biryani, Andhra, North Indian, Kebab, Chinese"
17,https://www.zomato.com/visakhapatnam/paradise-biryani-nad-junction-vizag/order,Paradise Biryani,3.6,₹200 for one,"Biryani, North Indian, Kebab, Chinese, Desserts"
18,https://www.zomato.com/visakhapatnam/cakezone-gopalapatnam-vizag/order,CakeZone,4.3,₹200 for one,"Bakery, Desserts"
19,https://www.zomato.com/visakhapatnam/new-ram-sai-restaurant-madhavadhara-vizag/order,New Ram Sai Restaurant,4.1,₹200 for one,"Biryani, North Indian, Chinese, South Indian, Shake, Sichuan"
20,https://www.zomato.com/visakhapatnam/star-annapurnas-paakashala-restaurant-pendurthi-vizag/order,Star Annapurna's Paakashala Restaurant,4.2,₹200 for one,"South Indian, Chinese, North Indian, Biryani, Kebab"
21,https://www.zomato.com/visakhapatnam/lassi-shop-madhavadhara-vizag/order,Lassi Shop,4.1,₹150 for one,"Shake, Juices, Beverages, Fast Food, Ice Cream, Desserts"
22,https://www.zomato.com/visakhapatnam/gatox-naturals-ice-cream-madhavadhara-vizag/order,Gatox Naturals Ice Cream,4.7,₹150 for one,"Ice Cream, Beverages"
23,https://www.zomato.com/visakhapatnam/k4-restaurant-kummaripalem-vizag/order,K4 Restaurant,3.5,₹150 for one,"Chinese, Street Food, North Indian"
24,https://www.zomato.com/visakhapatnam/the-dessert-heaven-pure-veg-gopalapatnam-vizag/order,The Dessert Heaven - Pure Veg,4.0,₹150 for one,"Desserts, Bakery"
25,https://www.zomato.com/visakhapatnam/nandini-srinivasa-parlour-nad-junction-vizag/order,Nandini Srinivasa Parlour,4.0,₹150 for one,"South Indian, North Indian, Chinese"
26,https://www.zomato.com/visakhapatnam/haldi-restaurant-pendurthi-vizag/order,Haldi Restaurant,3.7,₹150 for one,"South Indian, Biryani, Andhra, Pizza, Fast Food, Shake, Beverages"
27,https://www.zomato.com/visakhapatnam/andhra-ghuma-ghumalu-restaurant-pendurthi-vizag/order,Andhra Ghuma Ghumalu Restaurant,4.1,₹150 for one,"South Indian, Chinese, North Indian, Seafood, Biryani, Andhra"
28,https://www.zomato.com/visakhapatnam/the-arabian-restaurant-marripalem-vizag/order,The Arabian Restaurant,3.5,₹150 for one,"Arabian, North Indian, Mandi, Biryani, Chinese"
29,https://www.zomato.com/visakhapatnam/the-legendairy-milkshakes-pendurthi-vizag/order,The Legendairy Milkshakes,4.5,₹150 for one,"Beverages, Shake"
30,https://www.zomato.com/visakhapatnam/lunchbox-meals-and-thalis-gajuwaka-vizag/order,LunchBox - Meals and Thalis,4.0,₹150 for one,North Indian
31,https://www.zomato.com/visakhapatnam/swap-gopalapatnam-vizag/order,Swap,4.4,₹150 for one,"Healthy Food, Salad, Pasta, Sandwich, Wraps"
32,https://www.zomato.com/visakhapatnam/faasos-wraps-rolls-gajuwaka-vizag/order,Faasos - Wraps & Rolls,4.2,₹150 for one,"Rolls, Wraps, North Indian"
33,https://www.zomato.com/visakhapatnam/rasoi-nad-junction-vizag/order,Rasoi,4.0,₹250 for one,"Biryani, Chinese, North Indian, Mughlai, Seafood, Ice Cream"
34,https://www.zomato.com/visakhapatnam/go-foodie-crispy-chicken-pendurthi-vizag/order,Go Foodie Crispy Chicken,4.3,₹250 for one,"Pizza, Burger, Fast Food, Beverages"
35,https://www.zomato.com/visakhapatnam/cakes-shakes-pendurthi-vizag/order,Cakes & Shakes,3.6,₹250 for one,"Bakery, Ice Cream, Desserts, Waffle, Shake, Beverages"
36,https://www.zomato.com/visakhapatnam/baybee-chikizza-marripalem-vizag/order,BayBee Chikizza,4.0,₹250 for one,"Pizza, Burger, Sandwich, Fast Food, Shake, Beverages"
37,https://www.zomato.com/visakhapatnam/behrouz-biryani-gajuwaka-vizag/order,Behrouz Biryani,3.8,₹250 for one,"Biryani, Kebab, Hyderabadi, Lucknowi"
38,https://www.zomato.com/visakhapatnam/lucky-restaurant-gopalapatnam-vizag/order,Lucky Restaurant,3.9,₹250 for one,"North Indian, Biryani, Chinese, Seafood"
39,https://www.zomato.com/visakhapatnam/deccan-pizza-nad-junction-vizag/order,Deccan Pizza,3.3,₹250 for one,"Pizza, Sandwich, Burger, Fast Food, Desserts, Shake, Beverages"
40,https://www.zomato.com/visakhapatnam/the-thickshake-factory-madhavadhara-vizag/order,The ThickShake Factory,3.7,₹250 for one,"Beverages, Shake"
41,https://www.zomato.com/visakhapatnam/ovenfresh-cakes-and-desserts-gopalapatnam-vizag/order,Ovenfresh Cakes and Desserts,3.8,₹250 for one,"Bakery, Desserts, Ice Cream, Mithai, Beverages"
42,https://www.zomato.com/visakhapatnam/oven-story-pizza-standout-toppings-gajuwaka-vizag/order,Oven Story Pizza - Standout Toppings,4.2,₹250 for one,"Pizza, Fast Food"
43,https://www.zomato.com/visakhapatnam/pirates-mandi-nad-junction-vizag/order,Pirates Mandi,3.8,₹250 for one,"Mandi, North Indian, Chinese, Biryani"
44,https://www.zomato.com/visakhapatnam/indori-tadka-3-marripalem-vizag/order,Indori Tadka,3.7,₹250 for one,"Biryani, North Indian, Chinese, Fast Food, Street Food"
45,https://www.zomato.com/visakhapatnam/the-good-bowl-gajuwaka-vizag/order,The Good Bowl,3.6,₹200 for one,"North Indian, Pasta, Italian"
46,https://www.zomato.com/visakhapatnam/deccan-pizza-pendurthi-vizag/order,Deccan Pizza,3.6,₹200 for one,"Pizza, Burger, Sandwich, Fast Food, Bakery, Desserts, Beverages"
47,https://www.zomato.com/visakhapatnam/firangi-bake-gajuwaka-vizag/order,Firangi Bake,4.3,₹200 for one,"Italian, Mexican"
48,https://www.zomato.com/visakhapatnam/svs-food-island-shawrbq-1-pendurthi-vizag/order,SVS Food Island & ShawrbQ,4.0,₹200 for one,"Chinese, Biryani, Mughlai"
49,https://www.zomato.com/visakhapatnam/deccan-fried-chicken-pendurthi-vizag/order,Deccan Fried Chicken,4.1,₹200 for one,"Pizza, Burger, Sandwich, Fast Food, Desserts, Shake, Beverages"
50,https://www.zomato.com/visakhapatnam/just-bake-1-vepagunta-vizag/order,Just Bake,3.7,₹200 for one,Bakery
51,https://www.zomato.com/visakhapatnam/a-square-food-point-nad-junction-vizag/order,A Square Food Point,3.4,₹200 for one,"North Indian, Seafood, Biryani, Chinese"
