,links,names,ratings,price for one,cuisine
0,https://www.zomato.com/visakhapatnam/full-moon-delight-venkojipalem-vizag/order,Full Moon Delight,3.6,₹250 for one,"Biryani, North Indian, Chinese, Fast Food"
1,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,KFC,4.2,₹250 for one,"Fast Food, Burger"
2,https://www.zomato.com/visakhapatnam/we-bake-love-maddilapalem-vizag/order,We Bake Love,3.6,₹250 for one,"Bakery, Desserts"
3,https://www.zomato.com/visakhapatnam/dominos-pizza-maharani-peta-vizag/order,Domino's Pizza,4.3,₹250 for one,"Pizza, Fast Food, Desserts"
4,https://www.zomato.com/visakhapatnam/hyderabad-chorasta-biryani-dwaraka-nagar-vizag/order,Hyderabad Chorasta Biryani,3.3,₹250 for one,"Biryani, Chinese, North Indian"
5,https://www.zomato.com/visakhapatnam/kamat-takeaway-siripuram-vizag/order,Kamat Takeaway,4.2,₹250 for one,"Biryani, Andhra"
6,https://www.zomato.com/visakhapatnam/home-food-co-1-mvp-colony-vizag/order,Home Food Co.,3.9,₹250 for one,"South Indian, Andhra, Chinese, Bakery, Biryani, Fast Food, Desserts, Beverages"
7,https://www.zomato.com/visakhapatnam/bombay-restaurant-dabagardens-allipuram-vizag/order,Bombay Restaurant - Dabagardens,3.9,₹250 for one,"North Indian, Mughlai, Kebab, Chinese, Biryani, Seafood"
8,https://www.zomato.com/visakhapatnam/manis-kitchen-3-mvp-colony-vizag/order,Mani's Kitchen,3.6,₹250 for one,"Biryani, Chinese"
9,https://www.zomato.com/visakhapatnam/sri-sairam-parlour-dwaraka-nagar-vizag/order,Sri Sairam Parlour,4.3,₹100 for one,"Andhra, South Indian, Chinese, North Indian"
10,https://www.zomato.com/visakhapatnam/s-kotas-hotel-muntaj-venkojipalem-vizag/order,S Kota's Hotel Muntaj,4.3,₹100 for one,"North Indian, Chinese, Biryani"
11,https://www.zomato.com/visakhapatnam/helapuri-restaurant-diamond-park-dwaraka-nagar-vizag/order,Helapuri Restaurant-Diamond Park,4.1,₹100 for one,"North Indian, Chinese, Biryani, Mughlai, Seafood, Andhra, Desserts, Beverages"
12,https://www.zomato.com/visakhapatnam/real-deepak-punjabi-dhaba-ram-nagar-vizag/order,Real Deepak Punjabi Dhaba,4.3,₹100 for one,"North Indian, Biryani, Chinese, Sichuan, Mughlai"
