,links,names,ratings,price for one,cuisine
0,https://www.zomato.com/visakhapatnam/shresta-the-cloud-cuisine-gajuwaka-vizag/order,Shresta The Cloud Cuisine,3.6,₹300 for one,"Biryani, Chinese, North Indian, Andhra, Seafood"
1,https://www.zomato.com/visakhapatnam/eaters-stop-gajuwaka-vizag/order,Eaters Stop,4.2,₹300 for one,"Biryani, South Indian, Chinese, Sichuan"
2,https://www.zomato.com/visakhapatnam/bezawada-ruchulu-gajuwaka-vizag/order,Bezawada Ruchulu,3.0,₹300 for one,"South Indian, Street Food"
3,https://www.zomato.com/visakhapatnam/new-dhaba-city-punjab-gajuwaka-vizag/order,New Dhaba City Punjab,4.2,₹300 for one,"North Indian, Mughlai, South Indian, Chinese, Biryani"
4,https://www.zomato.com/visakhapatnam/7th-heaven-bakery-gajuwaka-vizag/order,7th Heaven Bakery,4.3,₹300 for one,"Bakery, Desserts, Fast Food"
5,https://www.zomato.com/visakhapatnam/hotel-grand-alpha-2-gajuwaka-vizag/order,Hotel Grand Alpha,3.9,₹300 for one,"North Indian, Biryani, Kebab, Chinese"
6,https://www.zomato.com/visakhapatnam/chickpet-donne-biryani-house-gajuwaka-vizag/order,Chickpet Donne Biryani House,4.0,₹300 for one,"Biryani, Andhra, Chinese"
7,https://www.zomato.com/visakhapatnam/burger-king-gajuwaka-vizag/order,Burger King,4.2,₹300 for one,"Burger, Fast Food"
8,https://www.zomato.com/visakhapatnam/pakoda-hub-gajuwaka-vizag/order,Pakoda Hub,-,₹300 for one,"North Indian, Street Food"
9,https://www.zomato.com/visakhapatnam/kfc-1-gajuwaka-vizag/order,KFC,4.2,₹200 for one,"Fast Food, Burger"
10,https://www.zomato.com/visakhapatnam/pizza-hut-gajuwaka-vizag/order,Pizza Hut,4.3,₹200 for one,"Pizza, Fast Food, Desserts, Beverages"
11,https://www.zomato.com/visakhapatnam/ramachandra-parlour-gajuwaka-vizag/order,Ramachandra Parlour,4.3,₹200 for one,South Indian
12,https://www.zomato.com/visakhapatnam/friends-tandoori-point-sriharipuram-vizag/order,Friends Tandoori Point,4.1,₹200 for one,"Biryani, North Indian, Chinese"
13,https://www.zomato.com/visakhapatnam/uma-parlour-gajuwaka-vizag/order,Uma Parlour,4.2,₹200 for one,South Indian
14,https://www.zomato.com/visakhapatnam/paradise-biryani-gajuwaka-vizag/order,Paradise Biryani,3.6,₹200 for one,"Biryani, North Indian, Kebab, Chinese, Desserts"
15,https://www.zomato.com/visakhapatnam/dominos-pizza-gajuwaka-vizag/order,Domino's Pizza,4.1,₹200 for one,"Pizza, Fast Food, Desserts"
16,https://www.zomato.com/visakhapatnam/red-chillies-food-court-1-gajuwaka-vizag/order,Red Chillies Food Court,3.5,₹200 for one,"North Indian, Chinese, Sichuan"
17,https://www.zomato.com/visakhapatnam/best-western-ramachandra-1-gajuwaka-vizag/order,Best Western Ramachandra,4.4,₹200 for one,"South Indian, North Indian"
18,https://www.zomato.com/visakhapatnam/zeeshan-restaurant-apna-hyderabadi-food-gajuwaka-vizag/order,Zeeshan Restaurant- Apna Hyderabadi Food,4.2,₹200 for one,"North Indian, Mughlai, Chinese, Kebab, Biryani, Sichuan"
19,https://www.zomato.com/visakhapatnam/skml-mess-dhaba-nathayyapalem-vizag/order,SKML Mess & Dhaba,3.9,₹200 for one,"Biryani, North Indian, Andhra"
20,https://www.zomato.com/visakhapatnam/nic-ice-creams-gajuwaka-vizag/order,NIC Ice Creams,4.4,₹200 for one,"Ice Cream, Desserts"
21,https://www.zomato.com/visakhapatnam/cream-stone-ice-cream-gajuwaka-vizag/order,Cream Stone Ice Cream,4.4,₹150 for one,"Ice Cream, Desserts, Bakery, Shake"
22,https://www.zomato.com/visakhapatnam/yummi-restaurant-nathayyapalem-vizag/order,Yummi Restaurant,4.1,₹150 for one,"Biryani, Chinese, North Indian, Mughlai, Seafood"
23,https://www.zomato.com/visakhapatnam/subway-gajuwaka-vizag/order,Subway,4.0,₹150 for one,"Wraps, Sandwich, Fast Food, Salad, Healthy Food"
24,https://www.zomato.com/visakhapatnam/the-red-box-gajuwaka-vizag/order,The Red Box,4.0,₹150 for one,"Chinese, Momos, Thai"
25,https://www.zomato.com/visakhapatnam/amrutha-vilas-gajuwaka-vizag/order,Amrutha Vilas,3.5,₹150 for one,"North Indian, Chinese, Biryani"
26,https://www.zomato.com/visakhapatnam/dum-safar-biryani-by-barbeque-nation-gajuwaka-vizag/order,Dum Safar Biryani by Barbeque Nation,4.1,₹150 for one,"Biryani, North Indian, Kebab, BBQ, Beverages, Desserts"
27,https://www.zomato.com/visakhapatnam/barbeque-nation-2-gajuwaka-vizag/order,Barbeque Nation,3.5,₹150 for one,"BBQ, North Indian, Biryani, Kebab, Continental, Chinese, Beverages, Desserts"
28,https://www.zomato.com/visakhapatnam/svn-food-house-gajuwaka-vizag/order,SVN Food House,4.2,₹150 for one,"Biryani, Chinese, North Indian, Seafood"
29,https://www.zomato.com/visakhapatnam/the-eatery-shop-gajuwaka-vizag/order,The Eatery Shop,3.4,₹150 for one,"North Indian, Biryani, Chinese, Rolls"
30,https://www.zomato.com/visakhapatnam/friends-tandoori-point-gajuwaka-vizag/order,Friends Tandoori Point,4.1,₹150 for one,"Biryani, North Indian, Chinese"
31,https://www.zomato.com/visakhapatnam/ubq-by-barbeque-nation-gajuwaka-vizag/order,UBQ by Barbeque Nation,3.5,₹150 for one,"BBQ, North Indian, Chinese, Street Food, Kebab, Beverages, Desserts"
32,https://www.zomato.com/visakhapatnam/red-bucket-biryani-gajuwaka-vizag/order,Red Bucket Biryani,4.2,₹150 for one,Biryani
33,https://www.zomato.com/visakhapatnam/royal-foodies-gajuwaka-vizag/order,Royal Foodies,3.3,₹200 for one,"North Indian, Chinese, Biryani, Beverages"
34,https://www.zomato.com/visakhapatnam/aj-drive-in-gajuwaka-vizag/order,Aj Drive In,4.1,₹200 for one,"Biryani, Continental"
35,https://www.zomato.com/visakhapatnam/uma-restaurant-gajuwaka-vizag/order,Uma Restaurant,4.1,₹200 for one,"Andhra, South Indian, Chinese, North Indian, Seafood, Biryani, Beverages"
36,https://www.zomato.com/visakhapatnam/biryani-shala-gajuwaka-vizag/order,Biryani Shala,3.0,₹200 for one,"South Indian, North Indian, Fast Food, Street Food, Chinese, Desserts, Beverages"
37,https://www.zomato.com/visakhapatnam/ibaco-gajuwaka-vizag/order,ibaco,4.1,₹200 for one,Desserts
38,https://www.zomato.com/visakhapatnam/food-house-1-gajuwaka-vizag/order,Food House,4.3,₹200 for one,"North Indian, Chinese, Biryani, Fast Food"
39,https://www.zomato.com/visakhapatnam/new-santosh-restaurant-sriharipuram-vizag/order,New Santosh Restaurant,3.7,₹200 for one,"North Indian, Chinese, Mughlai, Seafood, Biryani"
40,https://www.zomato.com/visakhapatnam/sv-chocolate-factory-gajuwaka-vizag/order,SV Chocolate Factory,3.3,₹200 for one,"Burger, Rolls, Fast Food, Beverages"
41,https://www.zomato.com/visakhapatnam/mana-teluginti-ruchulu-gajuwaka-vizag/order,Mana Teluginti Ruchulu,3.3,₹200 for one,"North Indian, Mughlai, Biryani"
42,https://www.zomato.com/visakhapatnam/sharma-bhojanalay-1-sriharipuram-vizag/order,Sharma Bhojanalay,4.0,₹200 for one,"North Indian, Chinese"
43,https://www.zomato.com/visakhapatnam/sri-balaji-family-restaurant-gajuwaka-vizag/order,Sri Balaji Family Restaurant,3.6,₹200 for one,"Biryani, Chinese, North Indian, Mughlai, Sichuan"
