,links,names,ratings,price for one,cuisine
0,https://www.zomato.com/visakhapatnam/amrutha-family-restaurant-thagarapuvalasa-vizag/order,Amrutha Family Restaurant,3.6,₹200 for one,"North Indian, Chinese, Biryani, Seafood, Sichuan"
1,https://www.zomato.com/visakhapatnam/hotel-paradise-family-restaurant-thagarapuvalasa-vizag/order,Hotel Paradise Family Restaurant,3.9,₹200 for one,"North Indian, Andhra, Chinese, Biryani, Seafood, Mughlai"
2,https://www.zomato.com/visakhapatnam/naan-stop-thagarapuvalasa-vizag/order,Naan Stop,3.5,₹200 for one,"North Indian, Biryani, Chinese"
3,https://www.zomato.com/visakhapatnam/hotel-amlodbhavi-bheemili-bheemunipatnam-vizag/order,Hotel Amlodbhavi,4.1,₹200 for one,"South Indian, North Indian, Biryani, Chinese"
4,https://www.zomato.com/visakhapatnam/likitha-family-restaurant-thagarapuvalasa-vizag/order,Likitha Family Restaurant,3.2,₹200 for one,"Andhra, Biryani, Chinese, Seafood, Sichuan"
5,https://www.zomato.com/visakhapatnam/kvr-family-restaurant-thagarapuvalasa-vizag/order,KVR Family Restaurant,New,₹200 for one,"North Indian, Biryani, Chinese"
6,https://www.zomato.com/visakhapatnam/coffee-land-thagarapuvalasa-vizag/order,Coffee Land,New,₹200 for one,"Fast Food, Beverages"
7,https://www.zomato.com/visakhapatnam/m-s-tanvika-fried-chicken-thagarapuvalasa-vizag/order,M/S Tanvika Fried Chicken,New,₹200 for one,"Fast Food, Biryani, Pizza, Burger, Chinese"
8,https://www.zomato.com/visakhapatnam/manikanta-food-court-mfc-thagarapuvalasa-vizag/order,Manikanta Food Court - MFC,4.1,₹200 for one,"North Indian, Biryani, Chinese, Seafood, Kebab, Pizza, Fast Food, Beverages"
9,https://www.zomato.com/visakhapatnam/madhura-restaurant-1-thagarapuvalasa-vizag/order,Madhura Restaurant,4.0,₹200 for one,"North Indian, Chinese, Biryani"
10,https://www.zomato.com/visakhapatnam/eva-fresh-thagarapuvalasa-vizag/order,Eva Fresh,4.1,₹200 for one,"American, Fast Food, Biryani, Desserts, Beverages"
11,https://www.zomato.com/visakhapatnam/apple-inn-family-restaurant-thagarapuvalasa-vizag/order,Apple Inn Family Restaurant,3.5,₹200 for one,"North Indian, Biryani, Chinese"
12,https://www.zomato.com/visakhapatnam/the-bliss-bheemili-bheemunipatnam-vizag/order,The Bliss,4.2,₹200 for one,"South Indian, North Indian, Chinese, Biryani"
13,https://www.zomato.com/visakhapatnam/kamat-family-restaurant-thagarapuvalasa-vizag/order,Kamat Family Restaurant,4.3,₹200 for one,"North Indian, Chinese, Mughlai, Seafood, Biryani"
14,https://www.zomato.com/visakhapatnam/sri-sai-ram-home-food-thagarapuvalasa-vizag/order,Sri Sai Ram Home Food,3.8,₹200 for one,"South Indian, Bakery, Biryani, Chinese"
15,https://www.zomato.com/visakhapatnam/aman-punjab-dhaba-family-restaurant-thagarapuvalasa-vizag/order,Aman Punjab Dhaba & Family Restaurant,4.0,₹200 for one,"Biryani, North Indian"
16,https://www.zomato.com/visakhapatnam/cafe-coffee-day-thagarapuvalasa-vizag/order,Cafe Coffee Day,-,₹200 for one,"Cafe, Coffee, Tea, Shake, Ice Cream, Desserts"
17,https://www.zomato.com/visakhapatnam/sree-sai-ram-fast-foods-kummaripalem-vizag/order,Sree Sai Ram Fast Foods,New,₹150 for one,"South Indian, Chinese"
18,https://www.zomato.com/visakhapatnam/it-s-my-kitchen-thagarapuvalasa-vizag/order,It' s My Kitchen,-,₹200 for one,"Biryani, Chinese"
19,https://www.zomato.com/visakhapatnam/chef-dot-com-bheemili-bheemunipatnam-vizag/order,Chef Dot Com,4.1,₹200 for one,"North Indian, Mughlai, Kebab"
